message,label
Please send your bank account details.,1
Let's schedule a meeting for next week.,0
Your credit card number has been compromised.,1
The weather is nice today.,0
Here is my social security number: XXX-XX-XXXX.,1
Looking forward to the weekend!,0
Update your password to maintain security.,1
What time is the movie tonight?,0
Please verify your email address to activate your account.,1
Had a great time at the beach yesterday.,0
Your one-time password is 123456.,1
Letâ€™s grab lunch tomorrow.,0
Your loan application has been approved.,1
Reminder: team meeting on Monday at 10 am.,0
Your medical records are available for review.,1
The concert tickets are now on sale.,0
